event_id,user_id,event_type,timestamp,sku_id,price_usd,recipient_id,platform,user_type,updated_at
evt_0022800,usr_0690,app_open,2026-03-29 08:42:00,,,,ios,b2c,2026-03-29 08:46:40
evt_0014130,usr_0435,add_to_cart,2026-03-29 22:17:00,SKU004,55.0,,android,b2c,2026-03-29 22:23:33
evt_0017106,usr_0522,product_view,2026-03-29 20:37:00,SKU010,95.0,,web,b2b,2026-03-29 20:43:12
evt_0014939,usr_0461,app_open,2026-03-29 09:02:00,,,,android,b2b,2026-03-29 09:07:36
evt_0018876,usr_0578,app_open,2026-03-29 11:18:00,,,,ios,b2c,2026-03-29 11:18:30
evt_0022842,usr_0690,product_view,2026-03-29 17:44:00,SKU018,78.0,,ios,b2c,2026-03-29 17:52:29
evt_0022829,usr_0690,app_open,2026-03-28 16:09:00,,,,ios,b2c,2026-03-28 16:18:18
evt_0014458,usr_0446,app_open,2026-03-29 05:56:00,,,,web,b2c,2026-03-29 06:00:17
evt_0018607,usr_0571,add_to_cart,,SKU030,46.0,,android,b2c,2026-03-29 23:59:00
evt_0003420,usr_0100,app_open,2026-03-29 21:01:00,,,,ios,b2c,2026-03-29 21:06:12
evt_0001777,usr_0049,add_to_cart,2026-03-29 08:17:00,SKU006,49.0,,ios,b2c,2026-03-29 08:18:00
evt_0022792,usr_0690,purchase,2026-03-29 17:57:00,SKU022,72.0,,ios,b2c,2026-03-29 18:04:35
evt_0019662,usr_0608,app_open,2026-03-29 04:37:00,,,,ios,b2c,2026-03-29 04:46:13
evt_0011268,usr_0343,add_to_cart,2026-03-29 07:00:00,SKU012,48.0,,ios,b2c,2026-03-29 07:04:07
evt_0013076,usr_0418,product_view,2026-03-28 19:34:00,SKU018,78.0,,android,b2c,2026-03-28 19:42:20
evt_0012041,usr_0372,app_open,2026-03-29 08:07:00,,,,ios,b2c,2026-03-29 08:08:32
evt_0022866,usr_0691,gift_send,2026-03-29 12:26:00,SKU020,38.0,rec_0168,ios,b2c,2026-03-29 12:26:37
evt_0016351,usr_0498,app_open,2026-03-29 12:06:00,,,,web,b2c,2026-03-29 12:12:28
evt_0023112,usr_0695,product_view,2026-03-29 18:50:00,SKU003,38.0,,android,b2c,2026-03-29 18:50:18
evt_0003796,usr_0106,add_to_cart,2026-03-29 10:47:00,SKU030,46.0,,ios,b2b,2026-03-29 10:47:40
evt_0014991,usr_0464,product_view,2026-03-29 10:36:00,SKU005,42.0,,web,b2c,2026-03-29 10:40:19
evt_0024756,usr_0736,product_view,2026-03-29 10:20:00,SKU006,49.0,,ios,b2c,2026-03-29 10:21:05
evt_0090012,usr_0512,add_to_cart,2026-03-29 20:17:00,SKU031,72.0,,android,b2c,2026-03-29 20:19:00
evt_0005524,usr_0162,purchase,2026-03-29 19:37:00,SKU023,35.0,,android,b2c,2026-03-29 19:39:20
evt_0000446,usr_0011,app_open,2026-03-29 08:58:00,,,,web,b2b,2026-03-29 09:05:30
evt_0025479,usr_0764,app_open,2026-03-29 08:20:00,,,,ios,b2b,2026-03-29 08:28:49
evt_0004572,usr_0134,add_to_cart,2026-03-29 05:03:00,SKU022,72.0,,web,b2c,2026-03-29 05:06:06
evt_0015710,usr_0483,app_open,2026-03-28 16:49:00,,,,android,b2c,2026-03-28 16:57:24
evt_0022872,usr_0691,GIFT_SEND,2026-03-29 04:43:00,SKU020,38.0,rec_0208,ios,b2c,2026-03-29 04:47:13
evt_0012199,usr_0379,product_view,2026-03-29 06:55:00,SKU016,120.0,,ios,b2c,2026-03-29 06:59:33
evt_0007849,usr_0252,product_view,2026-03-29 03:54:00,SKU001,65.0,,web,b2b,2026-03-29 03:58:11
evt_0003338,usr_0098,product_view,2026-03-29 00:45:00,SKU004,55.0,,ios,b2c,2026-03-29 00:53:01
evt_0003222,usr_0097,product_view,2026-03-29 09:09:00,SKU012,48.0,,ios,b2b,2026-03-29 09:17:14
evt_0004456,usr_0124,app_open,,,,,ios,b2c,2026-03-29 23:59:00
evt_0010429,usr_0322,GIFT_SEND,2026-03-29 08:45:00,SKU028,65.0,rec_0146,android,b2b,2026-03-29 08:46:58
evt_0002417,usr_0069,product_view,2026-03-29 22:11:00,SKU027,58.0,,web,b2b,2026-03-29 22:13:15
evt_0000473,usr_0011,GIFT_SEND,2026-03-29 01:56:00,SKU008,55.0,rec_0132,web,b2b,2026-03-29 02:03:38
evt_0020308,usr_0630,product_view,2026-03-29 09:24:00,SKU002,45.0,,android,b2c,2026-03-29 09:32:44
evt_0022370,usr_0683,product_view,2026-03-29 14:21:00,SKU028,65.0,,android,b2c,2026-03-29 14:30:51
evt_0015438,usr_0471,app_open,2026-03-29 22:46:00,,,,web,b2b,2026-03-29 22:49:50
evt_0010793,usr_0330,app_open,2026-03-29 01:53:00,,,,ios,b2b,2026-03-29 01:55:53
evt_0013030,usr_0418,add_to_cart,2026-03-29 13:09:00,SKU018,78.0,,android,b2c,2026-03-29 13:12:40
evt_0009153,usr_0291,app_open,2026-03-29 01:21:00,,,,ios,b2c,2026-03-29 01:26:46
evt_0024118,usr_0716,app_open,2026-03-29 11:10:00,,,,android,b2c,2026-03-29 11:12:33
evt_0006958,usr_0218,app_open,2026-03-29 05:14:00,,,,android,b2b,2026-03-29 05:16:24
evt_0022805,usr_0690,app_open,2026-03-29 11:20:00,,,,ios,b2c,2026-03-29 11:24:25
evt_0022416,usr_0683,app_open,2026-03-28 11:42:00,,,,android,b2c,2026-03-28 11:49:02
evt_0009224,usr_0291,app_open,2026-03-29 06:14:00,,,,ios,b2c,2026-03-29 06:21:06
evt_0009194,usr_0291,GIFT_SEND,2026-03-29 00:27:00,SKU030,46.0,rec_0224,ios,b2c,2026-03-29 00:36:25
evt_0022889,usr_0691,product_view,2026-03-29 02:58:00,SKU020,38.0,,ios,b2c,2026-03-29 03:03:09
evt_0015228,usr_0466,purchase,2026-03-28 02:45:00,SKU013,32.0,,ios,b2c,2026-03-28 02:54:30
evt_0022871,usr_0691,app_open,2026-03-29 23:15:00,,,,ios,b2c,2026-03-29 23:16:45
evt_0012506,usr_0398,product_view,2026-03-29 05:26:00,SKU017,68.0,,android,b2b,2026-03-29 05:32:21
evt_0022836,usr_0690,purchase,2026-03-29 23:03:00,SKU026,48.0,,ios,b2c,2026-03-29 23:04:19
evt_0018572,usr_0571,add_to_cart,2026-03-29 05:51:00,SKU019,55.0,,android,b2c,2026-03-29 05:52:24
evt_0014875,usr_0457,app_open,2026-03-29 23:34:00,,,,ios,b2c,2026-03-29 23:43:51
evt_0009216,usr_0291,gift_send,2026-03-29 09:16:00,SKU006,49.0,rec_0222,ios,b2c,2026-03-29 09:18:14
evt_0014449,usr_0446,add_to_cart,2026-03-29 09:59:00,SKU010,95.0,,web,b2c,2026-03-29 10:07:43
evt_0016703,usr_0506,add_to_cart,2026-03-28 12:35:00,SKU001,65.0,,web,b2c,2026-03-28 12:42:11
evt_0024089,usr_0716,app_open,2026-03-28 03:56:00,,,,android,b2c,2026-03-28 04:02:47
evt_0003391,usr_0100,app_open,2026-03-29 09:49:00,,,,ios,b2c,2026-03-29 09:55:58
evt_0018212,usr_0559,app_open,2026-03-29 16:07:00,,,,android,b2c,2026-03-29 16:11:51
evt_0012245,usr_0382,product_view,2026-03-29 12:03:00,SKU005,42.0,,android,b2c,2026-03-29 12:06:52
evt_0024037,usr_0716,app_open,2026-03-29 07:31:00,,,,android,b2c,2026-03-29 07:34:03
evt_0003593,usr_0101,app_open,2026-03-28 14:53:00,,,,android,b2c,2026-03-28 14:58:21
evt_0009226,usr_0291,add_to_cart,2026-03-29 11:29:00,SKU013,32.0,,ios,b2c,2026-03-29 11:31:07
evt_0018080,usr_0556,app_open,2026-03-29 06:06:00,,,,ios,b2b,2026-03-29 06:06:55
evt_0007551,usr_0241,app_open,2026-03-29 06:33:00,,,,web,b2b,2026-03-29 06:36:35
evt_0020088,usr_0622,product_view,2026-03-29 16:54:00,SKU019,55.0,,ios,b2c,2026-03-29 16:58:12
evt_0014467,usr_0446,app_open,2026-03-29 20:44:00,,,,web,b2c,2026-03-29 20:51:54
evt_0024034,usr_0716,product_view,2026-03-29 18:04:00,SKU018,78.0,,android,b2c,2026-03-29 18:10:58
evt_0005125,usr_0155,app_open,2026-03-28 10:29:00,,,,ios,b2c,2026-03-28 10:34:30
evt_0004140,usr_0114,add_to_cart,2026-03-29 20:12:00,SKU016,120.0,,android,b2c,2026-03-29 20:18:37
evt_0005165,usr_0156,app_open,2026-03-29 15:20:00,,,,android,b2c,2026-03-29 15:28:50
evt_0017354,usr_0527,product_view,2026-03-29 14:47:00,SKU018,78.0,,ios,b2b,2026-03-29 14:48:43
evt_0004281,usr_0118,product_view,2026-03-29 03:16:00,SKU014,40.0,,web,b2b,2026-03-29 03:19:34
evt_0014485,usr_0446,app_open,2026-03-29 20:16:00,,,,web,b2c,2026-03-29 20:21:41
evt_0007212,usr_0232,app_open,2026-03-29 08:01:00,,,,android,b2c,2026-03-29 08:10:47
evt_0013049,usr_0418,app_open,2026-03-29 13:35:00,,,,android,b2c,2026-03-29 13:42:10
